chosenVideoID,chosenVideoRating,notChosenVideoID,notChosenVideoRating,emotionName,confidenceRating,chosenVideoAvg,notChosenVideoAvg,chosenVideoVar,notChosenVideoVar,value_difference,summed_variability,summed_value,consistent_choice,subject_id
0982,1.7000000000000002,1932,1.38,joy,,1.7000000000000002,1.38,0.11313708498984755,0.14142135623730948,0.3200000000000003,0.25455844122715704,3.08,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1692,2.3449999999999998,1343,1.49,joy,,2.3449999999999998,1.49,0.3606244584051394,0.08485281374238578,0.8549999999999998,0.4454772721475252,3.835,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1683,3.075,1428,1.845,joy,,3.075,1.845,0.5868986283848344,0.06363961030678918,1.2300000000000002,0.6505382386916236,4.92,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1281,3.965,2060,2.74,joy,,3.965,2.74,0.9970205614730321,0.6929646455628166,1.2249999999999996,1.6899852070358485,6.705,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1159,2.75,1365,1.6099999999999999,joy,,2.75,1.6099999999999999,0.3676955262170044,0.09899494936611658,1.1400000000000001,0.466690475583121,4.359999999999999,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1898,1.29,1160,1.645,joy,,1.29,1.645,0.2969848480983499,0.049497474683058214,0.355,0.3464823227814081,2.935,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1932,1.38,1160,1.645,joy,,1.38,1.645,0.14142135623730948,0.049497474683058214,0.2650000000000001,0.19091883092036768,3.025,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1428,1.845,1343,1.49,joy,6.6,1.845,1.49,0.06363961030678918,0.08485281374238578,0.355,0.14849242404917495,3.335,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1898,1.29,1365,1.6099999999999999,joy,,1.29,1.6099999999999999,0.2969848480983499,0.09899494936611658,0.31999999999999984,0.3959797974644665,2.9,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1692,2.3449999999999998,1848,1.455,joy,,2.3449999999999998,1.455,0.3606244584051394,0.27577164466275345,0.8899999999999997,0.6363961030678928,3.8,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1171,2.18,1898,1.29,joy,6.74,2.18,1.29,0.5656854249492381,0.2969848480983499,0.8900000000000001,0.862670273047588,3.47,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1171,2.18,1698,1.62,joy,,2.18,1.62,0.5656854249492381,0.18384776310850234,0.56,0.7495331880577405,3.8000000000000003,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0864,2.3449999999999998,1503,1.47,joy,6.93,2.3449999999999998,1.47,0.19091883092036785,0.014142135623730963,0.8749999999999998,0.2050609665440988,3.8149999999999995,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1159,2.75,1428,1.845,joy,,2.75,1.845,0.3676955262170044,0.06363961030678918,0.905,0.43133513652379357,4.595,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2102,2.1550000000000002,0844,1.51,joy,6.79,2.1550000000000002,1.51,0.7566042558696058,0.3252691193458118,0.6450000000000002,1.0818733752154177,3.665,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1743,2.6500000000000004,0844,1.51,joy,,2.6500000000000004,1.51,0.014142135623730963,0.3252691193458118,1.1400000000000003,0.3394112549695428,4.16,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2060,2.74,1428,1.845,joy,,2.74,1.845,0.6929646455628166,0.06363961030678918,0.8950000000000002,0.7566042558696058,4.585,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0452,2.105,0844,1.51,joy,,2.105,1.51,0.7707463914933367,0.3252691193458118,0.595,1.0960155108391485,3.615,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1692,2.3449999999999998,1850,1.695,joy,5.38,2.3449999999999998,1.695,0.3606244584051394,0.10606601717798207,0.6499999999999997,0.4666904755831215,4.04,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1012,1.745,1743,2.6500000000000004,joy,,1.745,2.6500000000000004,0.27577164466275345,0.014142135623730963,0.9050000000000002,0.2899137802864844,4.3950000000000005,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1743,2.6500000000000004,1503,1.47,joy,,2.6500000000000004,1.47,0.014142135623730963,0.014142135623730963,1.1800000000000004,0.028284271247461926,4.12,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2102,5.98,1743,2.925,joy,,5.98,2.925,0.3818376618407357,0.3181980515339462,3.0550000000000006,0.700035713374682,8.905000000000001,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
1012,3.875,0452,4.205,joy,,3.875,4.205,0.12020815280171303,0.34648232278140845,0.33000000000000007,0.4666904755831215,8.08,0,66eiQT6v7jbX4HLVZAF9jjjAnhi2
1343,4.449999999999999,0452,4.205,joy,,4.449999999999999,4.205,0.028284271247461926,0.34648232278140845,0.24499999999999922,0.37476659402887036,8.655,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
2060,4.6899999999999995,1898,4.04,joy,,4.6899999999999995,4.04,0.2828427124746186,0.6788225099390853,0.6499999999999995,0.9616652224137039,8.73,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
1932,4.859999999999999,0452,4.205,joy,3.23,4.859999999999999,4.205,0.127279220613579,0.34648232278140845,0.6549999999999994,0.47376154339498744,9.065,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
1932,4.859999999999999,0864,3.695,joy,3.07,4.859999999999999,3.695,0.127279220613579,0.0919238815542511,1.1649999999999996,0.2192031021678301,8.555,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
1191,2.5999999999999996,1743,2.925,joy,,2.5999999999999996,2.925,0.31112698372208086,0.3181980515339462,0.3250000000000002,0.6293250352560271,5.5249999999999995,0,66eiQT6v7jbX4HLVZAF9jjjAnhi2
0174,6.0600000000000005,1848,3.08,joy,6.11,6.0600000000000005,3.08,0.5515432893255073,0.12727922061357835,2.9800000000000004,0.6788225099390857,9.14,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
1428,3.825,1191,2.5999999999999996,joy,,3.825,2.5999999999999996,0.4737615433949868,0.31112698372208086,1.2250000000000005,0.7848885271170676,6.425,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
1281,3.82,1743,2.925,joy,,3.82,2.925,0.5656854249492379,0.3181980515339462,0.895,0.8838834764831841,6.744999999999999,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
2060,4.6899999999999995,1281,3.82,joy,,4.6899999999999995,3.82,0.2828427124746186,0.5656854249492379,0.8699999999999997,0.8485281374238565,8.51,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
0194,6.02,1171,3.06,joy,,6.02,3.06,0.15556349186104027,0.14142135623730964,2.9599999999999995,0.2969848480983499,9.08,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
1692,5.855,2060,4.6899999999999995,joy,,5.855,4.6899999999999995,0.1767766952966369,0.2828427124746186,1.165000000000001,0.45961940777125554,10.545,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
1503,5.87,1743,2.925,joy,,5.87,2.925,0.2262741699796954,0.3181980515339462,2.9450000000000003,0.5444722215136416,8.795,1,66eiQT6v7jbX4HLVZAF9jjjAnhi2
1012,3.875,1343,4.449999999999999,joy,,3.875,4.449999999999999,0.12020815280171303,0.028284271247461926,0.5749999999999993,0.14849242404917495,8.325,0,66eiQT6v7jbX4HLVZAF9jjjAnhi2
