rating_phase1,videoID,emotionName,durationBlackScreen_phase1,rating_phase2,durationBlackScreen_phase2,average_rating,variance_rating,subject_id
5.11,1626,romance,2600,5.13,900,5.12,0.014142135623730649,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.29,2035,sadness,900,6.89,2600,6.59,0.4242640687119283,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.0,1692,joy,2600,4.74,900,4.87,0.1838477631085022,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.19,2060,joy,900,3.85,2600,4.0200000000000005,0.24041630560342636,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.42,1716,romance,2600,5.0,900,4.21,1.1172287142747452,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.33,1576,disgust,2600,3.55,900,3.44,0.15556349186104027,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.39,1725,sadness,2600,3.42,900,3.4050000000000002,0.021213203435596288,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.69,1916,disgust,2600,5.12,900,4.905,0.30405591591021525,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.4,0271,anxiety,2600,3.57,900,3.9850000000000003,0.5868986283848348,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.41,0522,anxiety,900,3.18,2600,3.795,0.8697413408594534,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,1737,anxiety,900,7.0,2600,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0190,anxiety,900,6.5,2600,6.75,0.3535533905932738,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0377,anxiety,900,7.0,2600,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.47,1850,joy,2600,4.74,900,4.605,0.19091883092036815,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.37,1909,romance,2600,5.46,900,5.415,0.06363961030678918,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.36,1295,romance,2600,4.83,900,4.595000000000001,0.33234018715767716,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.42,2006,disgust,900,1.99,2600,2.705,1.011162697096763,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.34,1932,joy,2600,5.81,900,5.574999999999999,0.33234018715767716,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.49,1756,romance,2600,5.21,900,5.35,0.19798989873223347,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0513,disgust,2600,6.72,900,6.859999999999999,0.19798989873223347,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.13,1848,joy,900,5.29,2600,5.21,0.1131370849898477,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.99,0255,sadness,2600,3.58,900,3.285,0.41719300090006295,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.56,1012,joy,2600,4.74,900,4.65,0.127279220613579,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.44,1159,joy,900,3.23,2600,3.335,0.14849242404917495,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.58,0194,joy,2600,4.44,900,4.51,0.09899494936611643,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.54,1238,romance,900,5.08,2600,5.3100000000000005,0.3252691193458118,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.02,0744,anxiety,900,4.62,2600,4.82,0.2828427124746186,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.87,1365,joy,900,3.34,2600,3.105,0.33234018715767716,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.8,0909,disgust,900,3.47,2600,3.135,0.4737615433949871,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.6,1054,romance,2600,5.76,900,5.68,0.1131370849898477,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.79,1661,joy,900,5.15,2600,4.970000000000001,0.2545584412271574,O4mOO2W80Od34gyNg7l6hJzqlDm2
