videoID,emotionName,durationBlackScreen,rating,average_rating,variance_rating,subject_id
0844,joy,2600,1.05,1.065,0.021213203435596444,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
0312,sadness,2600,6.94,6.970000000000001,0.042426406871192576,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
0069,romance,2600,3.05,3.9499999999999997,1.2727922061357855,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2130,anxiety,2600,2.96,3.105,0.2050609665440988,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
0190,anxiety,2600,2.93,3.5949999999999998,0.9404520189781079,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1160,joy,2600,5.14,5.46,0.4525483399593908,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2006,disgust,2600,1.0,1.0,0.0,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
0774,sadness,2600,2.01,2.01,0.0,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1169,sadness,2600,5.28,5.625,0.48790367901871745,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1989,romance,2600,5.98,5.845000000000001,0.19091883092036815,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1757,disgust,2600,6.04,6.0600000000000005,0.028284271247461926,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1028,romance,2600,1.93,1.9049999999999998,0.03535533905932741,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1487,disgust,2600,5.62,5.625,0.007071067811865324,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
0548,anxiety,2600,5.97,5.9,0.09899494936611643,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1511,sadness,2600,4.72,3.91,1.1455129855222068,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1171,joy,2600,2.97,4.03,1.4990663761154805,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2035,sadness,2600,5.68,5.54,0.19798989873223286,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
0911,anxiety,2600,4.6,3.4299999999999997,1.654629867976521,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
0522,anxiety,2600,4.36,4.485,0.1767766952966369,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1329,sadness,2600,2.9,2.51,0.5515432893255069,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1378,romance,2600,4.21,4.85,0.9050966799187811,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1281,joy,2600,1.95,2.01,0.08485281374238562,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1035,disgust,2600,1.0,1.0,,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2102,joy,2600,5.97,5.945,0.03535533905932725,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1283,anxiety,2600,4.3,4.68,0.537401153701776,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1404,disgust,2600,1.21,1.31,0.14142135623730948,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
0255,sadness,2600,1.15,1.515,0.5161879502661797,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1231,sadness,2600,3.85,4.785,1.3222896808188436,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
0174,joy,2600,5.17,5.305,0.19091883092036815,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1271,disgust,2600,6.57,6.575,0.007071067811865324,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1174,disgust,2600,1.84,1.9449999999999998,0.1484924240491748,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
